Airline,Source,Destination,Total_Stops,Day,Month,Total_Duration
IndiGo,Delhi,Cochin,1,9,3,5.916666666666667
Jet Airways,Banglore,Delhi,0,15,5,2.9166666666666665
Air India,Banglore,Delhi,0,24,6,2.75
Jet Airways,Banglore,Delhi,0,9,4,2.9166666666666665
SpiceJet,Kolkata,Banglore,0,18,5,2.5
Jet Airways,Mumbai,Hyderabad,2,6,3,26.5
Vistara,Kolkata,Banglore,1,24,5,25.916666666666668
Air India,Mumbai,Hyderabad,0,1,4,1.3333333333333333
SpiceJet,Banglore,Delhi,0,15,4,2.6666666666666665
IndiGo,Mumbai,Hyderabad,0,1,5,1.5833333333333333
SpiceJet,Kolkata,Banglore,0,24,3,2.3333333333333335
IndiGo,Kolkata,Banglore,0,9,6,2.6666666666666665
IndiGo,Delhi,Cochin,1,6,6,4.583333333333333
Jet Airways,Banglore,Delhi,0,9,6,3.0833333333333335
Jet Airways,Kolkata,Banglore,1,6,6,15.166666666666666
SpiceJet,Banglore,Delhi,0,9,6,2.9166666666666665
Multiple carriers,Delhi,Cochin,1,9,3,9.083333333333334
Jet Airways,Delhi,Cochin,1,27,3,15.416666666666666
Jet Airways,Banglore,Delhi,1,6,3,4.666666666666667
IndiGo,Delhi,Cochin,1,6,3,9.583333333333334
IndiGo,Delhi,Cochin,1,12,6,4.583333333333333
Air India,Delhi,Cochin,2,3,6,30.916666666666668
IndiGo,Banglore,Delhi,0,15,4,2.9166666666666665
Air India,Delhi,Cochin,2,9,3,37.333333333333336
Air India,Delhi,Cochin,2,24,6,26.0
Jet Airways,Delhi,Cochin,1,21,5,20.166666666666668
Jet Airways,Kolkata,Banglore,1,6,5,25.333333333333332
IndiGo,Delhi,Cochin,1,12,6,11.083333333333334
Jet Airways,Kolkata,Banglore,1,12,5,23.833333333333332
Multiple carriers,Delhi,Cochin,1,24,6,10.0
IndiGo,Kolkata,Banglore,0,15,5,2.5833333333333335
Jet Airways,Delhi,Cochin,1,1,4,20.583333333333332
IndiGo,Delhi,Cochin,1,21,3,14.833333333333334
IndiGo,Chennai,Kolkata,0,21,3,2.3333333333333335
Air Asia,Delhi,Cochin,1,3,6,9.833333333333334
Jet Airways,Banglore,Delhi,1,15,3,7.5
Jet Airways,Banglore,Delhi,1,21,3,7.25
Jet Airways,Banglore,Delhi,1,6,3,22.75
IndiGo,Banglore,Delhi,0,3,6,2.8333333333333335
Jet Airways,Delhi,Cochin,1,9,5,20.166666666666668
Air Asia,Banglore,Delhi,0,9,3,2.8333333333333335
Jet Airways,Kolkata,Banglore,1,18,5,22.916666666666668
Jet Airways,Delhi,Cochin,1,9,3,25.416666666666668
IndiGo,Delhi,Cochin,1,24,6,5.083333333333333
Jet Airways,Banglore,Delhi,0,21,6,2.75
Air Asia,Kolkata,Banglore,1,1,4,12.0
Jet Airways,Kolkata,Banglore,1,9,6,11.083333333333334
Jet Airways,Banglore,Delhi,1,1,3,21.833333333333332
Multiple carriers,Delhi,Cochin,1,3,6,9.0
Jet Airways,Banglore,Delhi,1,12,3,13.5
Jet Airways,Kolkata,Banglore,1,24,5,8.416666666666666
Multiple carriers,Delhi,Cochin,1,6,3,8.5
Multiple carriers,Delhi,Cochin,1,12,6,10.0
SpiceJet,Mumbai,Hyderabad,0,21,5,1.5
IndiGo,Chennai,Kolkata,0,18,5,2.3333333333333335
IndiGo,Mumbai,Hyderabad,0,1,6,1.5
Jet Airways,Banglore,Delhi,0,21,5,3.0833333333333335
Jet Airways,Delhi,Cochin,1,27,5,23.75
IndiGo,Mumbai,Hyderabad,0,27,3,1.5
Jet Airways,Banglore,Delhi,1,18,3,6.083333333333333
Jet Airways,Delhi,Cochin,2,15,6,9.333333333333334
Jet Airways,Delhi,Cochin,1,27,5,20.166666666666668
Air India,Kolkata,Banglore,2,1,5,19.75
IndiGo,Delhi,Cochin,1,27,5,13.916666666666666
SpiceJet,Chennai,Kolkata,0,21,5,2.25
Jet Airways,Delhi,Cochin,2,6,6,7.333333333333333
Vistara,Delhi,Cochin,0,15,3,3.1666666666666665
IndiGo,Delhi,Cochin,0,9,6,3.25
Air India,Banglore,Delhi,0,18,5,2.8333333333333335
Jet Airways,Kolkata,Banglore,1,24,5,7.25
Jet Airways,Banglore,Delhi,0,9,5,2.9166666666666665
IndiGo,Delhi,Cochin,1,12,6,7.583333333333333
Jet Airways,Banglore,Delhi,0,27,4,2.9166666666666665
Air India,Kolkata,Banglore,2,12,6,28.333333333333332
Jet Airways,Delhi,Cochin,1,21,5,8.666666666666666
Multiple carriers,Delhi,Cochin,1,27,3,9.083333333333334
Air India,Kolkata,Banglore,2,1,4,15.333333333333334
Air India,Delhi,Cochin,2,27,3,37.333333333333336
GoAir,Banglore,Delhi,0,1,3,2.9166666666666665
Air India,Delhi,Cochin,1,15,5,11.75
Air Asia,Banglore,Delhi,0,18,6,2.8333333333333335
Multiple carriers,Delhi,Cochin,1,9,5,15.166666666666666
Multiple carriers,Delhi,Cochin,1,18,5,10.25
Jet Airways,Delhi,Cochin,2,6,6,16.666666666666668
IndiGo,Chennai,Kolkata,0,12,5,2.3333333333333335
IndiGo,Banglore,Delhi,0,9,6,2.75
Multiple carriers,Delhi,Cochin,1,12,6,9.083333333333334
SpiceJet,Kolkata,Banglore,0,1,4,2.3333333333333335
Jet Airways,Delhi,Cochin,2,9,5,23.833333333333332
IndiGo,Delhi,Cochin,1,9,6,8.0
Jet Airways,Delhi,Cochin,2,6,3,33.25
Jet Airways,Banglore,Delhi,1,9,3,14.75
Air India,Delhi,Cochin,1,9,3,27.333333333333332
SpiceJet,Kolkata,Banglore,0,27,5,2.4166666666666665
Jet Airways,Mumbai,Hyderabad,0,27,3,1.5
IndiGo,Delhi,Cochin,1,3,3,7.083333333333333
Jet Airways,Mumbai,Hyderabad,0,18,5,1.5
IndiGo,Delhi,Cochin,1,9,5,4.833333333333333
Jet Airways,Kolkata,Banglore,1,9,5,6.583333333333333
Air India,Delhi,Cochin,1,21,5,10.25
Multiple carriers,Delhi,Cochin,1,27,6,11.5
Air India,Delhi,Cochin,2,9,5,21.25
IndiGo,Delhi,Cochin,1,6,3,16.25
Jet Airways,Banglore,Delhi,1,9,3,25.833333333333332
Jet Airways,Delhi,Cochin,1,27,3,24.5
IndiGo,Chennai,Kolkata,0,24,5,2.3333333333333335
Jet Airways,Kolkata,Banglore,1,12,6,15.166666666666666
Multiple carriers,Delhi,Cochin,1,12,6,14.083333333333334
IndiGo,Delhi,Cochin,1,27,3,12.583333333333334
Jet Airways,Delhi,Cochin,1,12,6,10.333333333333334
Jet Airways,Kolkata,Banglore,1,6,6,13.333333333333334
IndiGo,Banglore,Delhi,0,24,4,2.75
Jet Airways,Banglore,Delhi,0,9,6,3.0
IndiGo,Banglore,Delhi,0,3,3,2.8333333333333335
Jet Airways,Delhi,Cochin,2,1,6,21.666666666666668
IndiGo,Kolkata,Banglore,0,27,3,2.6666666666666665
SpiceJet,Banglore,Delhi,0,24,3,2.8333333333333335
Jet Airways,Delhi,Cochin,2,21,3,9.166666666666666
IndiGo,Delhi,Cochin,1,6,3,8.416666666666666
Air India,Banglore,Delhi,2,18,3,28.416666666666668
IndiGo,Delhi,Cochin,1,6,6,8.166666666666666
IndiGo,Delhi,Cochin,1,12,6,12.5
IndiGo,Banglore,Delhi,0,15,5,2.8333333333333335
Jet Airways,Mumbai,Hyderabad,0,6,6,1.5
Jet Airways,Delhi,Cochin,2,9,5,13.5
SpiceJet,Chennai,Kolkata,0,9,5,2.3333333333333335
Vistara,Kolkata,Banglore,1,6,5,11.666666666666666
Jet Airways,Kolkata,Banglore,1,1,5,6.583333333333333
SpiceJet,Banglore,Delhi,0,9,5,2.8333333333333335
SpiceJet,Kolkata,Banglore,1,1,4,5.25
SpiceJet,Chennai,Kolkata,0,18,5,2.25
Jet Airways,Delhi,Cochin,1,21,5,11.0
Jet Airways,Delhi,Cochin,2,27,3,37.416666666666664
IndiGo,Banglore,Delhi,0,3,3,2.8333333333333335
Jet Airways,Delhi,Cochin,1,6,6,21.166666666666668
IndiGo,Banglore,Delhi,0,24,6,2.75
Multiple carriers,Delhi,Cochin,1,3,6,6.416666666666667
Multiple carriers,Delhi,Cochin,1,18,5,15.166666666666666
Multiple carriers,Delhi,Cochin,1,3,6,7.75
IndiGo,Kolkata,Banglore,1,1,5,4.916666666666667
SpiceJet,Delhi,Cochin,1,1,4,5.25
Vistara,Delhi,Cochin,0,21,3,3.1666666666666665
Jet Airways,Banglore,Delhi,1,12,3,22.583333333333332
Air India,Banglore,Delhi,2,15,3,30.25
IndiGo,Kolkata,Banglore,1,15,4,5.25
GoAir,Kolkata,Banglore,0,27,6,2.5833333333333335
Jet Airways,Delhi,Cochin,2,24,6,21.666666666666668
Jet Airways,Delhi,Cochin,2,12,6,28.416666666666668
Air India,Delhi,Cochin,1,27,6,12.75
IndiGo,Mumbai,Hyderabad,0,12,5,1.5
Air Asia,Delhi,Cochin,1,18,5,14.5
Air Asia,Kolkata,Banglore,0,24,5,2.5833333333333335
Air India,Kolkata,Banglore,2,3,4,25.916666666666668
SpiceJet,Chennai,Kolkata,0,21,3,2.5833333333333335
Air India,Delhi,Cochin,1,27,3,9.25
Air Asia,Kolkata,Banglore,1,6,6,3.5833333333333335
Jet Airways,Delhi,Cochin,1,9,5,9.166666666666666
Multiple carriers,Delhi,Cochin,1,15,6,7.333333333333333
Air India,Delhi,Cochin,2,9,5,14.416666666666666
Jet Airways,Banglore,Delhi,1,12,3,12.5
Vistara,Kolkata,Banglore,1,18,5,27.083333333333332
SpiceJet,Mumbai,Hyderabad,0,24,6,1.5
IndiGo,Delhi,Cochin,1,3,6,13.5
Jet Airways,Kolkata,Banglore,1,9,6,13.333333333333334
Jet Airways,Kolkata,Banglore,1,9,5,12.916666666666666
Jet Airways,Delhi,Cochin,1,6,6,23.75
Jet Airways,Kolkata,Banglore,1,12,6,27.666666666666668
IndiGo,Delhi,Cochin,1,6,4,4.583333333333333
Jet Airways,Banglore,Delhi,0,24,4,3.0
Air India,Delhi,Cochin,1,6,6,9.25
Multiple carriers,Delhi,Cochin,1,12,6,7.333333333333333
SpiceJet,Mumbai,Hyderabad,0,12,6,1.5
Air India,Kolkata,Banglore,2,6,6,22.0
IndiGo,Banglore,Delhi,0,9,5,2.75
Jet Airways,Delhi,Cochin,2,9,6,22.916666666666668
IndiGo,Delhi,Cochin,1,24,4,4.833333333333333
Air India,Delhi,Cochin,1,18,5,12.75
SpiceJet,Kolkata,Banglore,1,12,6,8.666666666666666
Air India,Banglore,Delhi,0,15,3,2.75
Jet Airways,Delhi,Cochin,1,6,3,16.916666666666668
Jet Airways,Delhi,Cochin,1,6,6,9.166666666666666
Multiple carriers,Delhi,Cochin,1,21,5,8.5
Jet Airways,Delhi,Cochin,1,6,6,20.416666666666668
Jet Airways,Delhi,Cochin,2,18,5,8.416666666666666
Jet Airways,Kolkata,Banglore,1,1,5,7.25
Jet Airways,Kolkata,Banglore,1,1,4,9.833333333333334
Air India,Delhi,Cochin,2,6,3,16.166666666666668
Multiple carriers,Delhi,Cochin,1,3,3,13.916666666666666
Multiple carriers,Delhi,Cochin,1,27,3,8.0
Air India,Delhi,Cochin,2,27,5,21.25
Vistara,Delhi,Cochin,0,1,6,3.1666666666666665
Jet Airways,Kolkata,Banglore,1,24,5,26.583333333333332
Air India,Delhi,Cochin,2,27,5,28.833333333333332
IndiGo,Banglore,Delhi,0,6,4,2.75
Jet Airways,Mumbai,Hyderabad,0,27,5,1.5
Jet Airways,Delhi,Cochin,2,21,5,27.0
IndiGo,Delhi,Cochin,1,1,6,4.583333333333333
Air India,Delhi,Cochin,1,24,5,23.666666666666668
Air India,Banglore,Delhi,0,3,6,2.75
SpiceJet,Kolkata,Banglore,0,24,4,2.5
IndiGo,Banglore,Delhi,0,3,6,3.0
Jet Airways,Banglore,Delhi,0,3,5,3.0
SpiceJet,Banglore,Delhi,0,15,5,2.8333333333333335
IndiGo,Banglore,Delhi,0,24,4,2.8333333333333335
Jet Airways,Delhi,Cochin,1,21,5,5.583333333333333
Jet Airways,Banglore,Delhi,0,21,6,3.0
Air India,Delhi,Cochin,2,1,6,20.166666666666668
Jet Airways,Delhi,Cochin,1,3,6,19.083333333333332
Air India,Kolkata,Banglore,1,1,5,28.333333333333332
Air India,Delhi,Cochin,2,21,5,29.916666666666668
Air India,Banglore,Delhi,2,1,3,25.75
Air India,Chennai,Kolkata,0,1,5,2.25
Jet Airways,Banglore,Delhi,0,15,6,2.9166666666666665
Jet Airways,Delhi,Cochin,2,15,6,18.166666666666668
Multiple carriers,Delhi,Cochin,1,15,5,8.916666666666666
Jet Airways,Delhi,Cochin,2,24,6,19.0
IndiGo,Banglore,Delhi,0,6,5,2.8333333333333335
Air Asia,Banglore,Delhi,0,24,5,2.8333333333333335
Air India,Banglore,Delhi,0,12,6,2.75
Jet Airways,Kolkata,Banglore,1,12,5,15.166666666666666
Jet Airways,Delhi,Cochin,2,18,5,29.333333333333332
IndiGo,Mumbai,Hyderabad,0,12,5,1.5
SpiceJet,Chennai,Kolkata,0,24,3,2.25
IndiGo,Delhi,Cochin,1,9,6,15.666666666666666
Jet Airways,Banglore,Delhi,1,15,3,24.666666666666668
IndiGo,Delhi,Cochin,1,24,6,13.916666666666666
IndiGo,Banglore,Delhi,0,21,4,2.8333333333333335
Jet Airways,Banglore,Delhi,1,6,3,23.333333333333332
GoAir,Delhi,Cochin,1,6,4,9.0
Air Asia,Banglore,Delhi,0,15,5,2.8333333333333335
GoAir,Delhi,Cochin,1,15,6,6.166666666666667
Jet Airways,Delhi,Cochin,2,18,5,15.0
Air India,Kolkata,Banglore,1,1,5,15.083333333333334
SpiceJet,Mumbai,Hyderabad,0,9,5,1.5
SpiceJet,Kolkata,Banglore,0,6,6,2.5
Jet Airways,Banglore,Delhi,1,1,3,12.333333333333334
Multiple carriers,Delhi,Cochin,1,6,6,7.666666666666667
Air India,Banglore,Delhi,1,21,3,14.416666666666666
Air India,Delhi,Cochin,2,12,6,38.25
Multiple carriers,Delhi,Cochin,1,21,3,12.166666666666666
IndiGo,Banglore,Delhi,0,1,5,2.8333333333333335
IndiGo,Delhi,Cochin,1,18,5,9.583333333333334
SpiceJet,Banglore,Delhi,0,27,6,2.6666666666666665
GoAir,Delhi,Cochin,1,27,5,6.166666666666667
Jet Airways,Kolkata,Banglore,1,24,3,6.5
Jet Airways,Kolkata,Banglore,1,6,6,25.833333333333332
Air India,Banglore,Delhi,3,1,3,30.416666666666668
Jet Airways,Banglore,Delhi,0,21,4,3.0
Jet Airways,Delhi,Cochin,2,9,6,13.833333333333334
Jet Airways,Banglore,Delhi,1,12,3,17.5
SpiceJet,Kolkata,Banglore,0,3,3,2.5
IndiGo,Kolkata,Banglore,0,27,6,2.5833333333333335
IndiGo,Chennai,Kolkata,0,12,6,2.3333333333333335
Multiple carriers,Delhi,Cochin,1,6,3,13.25
Jet Airways,Kolkata,Banglore,1,12,6,9.833333333333334
IndiGo,Banglore,Delhi,0,24,3,2.9166666666666665
Jet Airways,Banglore,Delhi,1,12,3,12.416666666666666
Jet Airways,Delhi,Cochin,2,6,3,24.583333333333332
Jet Airways,Delhi,Cochin,1,12,6,5.5
Jet Airways,Kolkata,Banglore,1,15,5,15.166666666666666
Air India,Delhi,Cochin,2,3,6,23.666666666666668
Air Asia,Kolkata,Banglore,0,18,3,2.5833333333333335
Jet Airways,Delhi,Cochin,1,12,6,10.0
Jet Airways,Delhi,Cochin,2,12,6,13.833333333333334
Jet Airways,Kolkata,Banglore,1,21,5,14.583333333333334
Multiple carriers,Delhi,Cochin,1,15,6,7.583333333333333
Jet Airways,Delhi,Cochin,2,9,5,13.5
IndiGo,Delhi,Cochin,1,6,5,13.5
GoAir,Kolkata,Banglore,1,1,5,8.25
Multiple carriers,Delhi,Cochin,1,3,6,12.666666666666666
IndiGo,Delhi,Cochin,1,15,6,14.916666666666666
Jet Airways,Delhi,Cochin,1,27,6,27.583333333333332
Jet Airways,Banglore,Delhi,1,12,3,14.583333333333334
Jet Airways,Kolkata,Banglore,1,12,6,9.5
Jet Airways,Kolkata,Banglore,1,12,5,15.166666666666666
IndiGo,Kolkata,Banglore,0,27,4,2.5833333333333335
IndiGo,Delhi,Cochin,0,21,3,3.0833333333333335
SpiceJet,Delhi,Cochin,1,3,4,4.916666666666667
IndiGo,Kolkata,Banglore,1,9,6,4.833333333333333
GoAir,Banglore,Delhi,0,6,6,2.9166666666666665
IndiGo,Mumbai,Hyderabad,0,6,6,1.5
Multiple carriers,Delhi,Cochin,1,27,5,10.5
Jet Airways,Kolkata,Banglore,1,18,5,12.5
Jet Airways,Delhi,Cochin,1,21,5,6.0
IndiGo,Banglore,Delhi,0,15,3,2.8333333333333335
IndiGo,Banglore,Delhi,0,9,3,2.9166666666666665
Multiple carriers,Delhi,Cochin,1,27,3,7.583333333333333
IndiGo,Banglore,Delhi,0,12,5,2.9166666666666665
IndiGo,Kolkata,Banglore,0,9,4,2.5833333333333335
Jet Airways,Delhi,Cochin,2,27,6,29.583333333333332
Jet Airways,Kolkata,Banglore,1,15,5,7.5
SpiceJet,Kolkata,Banglore,0,3,5,2.5833333333333335
IndiGo,Delhi,Cochin,0,27,6,3.25
Air India,Banglore,Delhi,2,1,3,16.333333333333332
Vistara,Mumbai,Hyderabad,1,6,3,18.833333333333332
Air India,Kolkata,Banglore,1,15,5,28.333333333333332
Jet Airways,Delhi,Cochin,1,18,5,23.25
Jet Airways,Kolkata,Banglore,1,6,5,22.083333333333332
IndiGo,Kolkata,Banglore,0,1,3,2.5833333333333335
SpiceJet,Mumbai,Hyderabad,0,24,5,1.5
SpiceJet,Chennai,Kolkata,0,27,3,2.5833333333333335
IndiGo,Banglore,Delhi,1,21,3,4.75
Air India,Banglore,Delhi,1,18,3,28.833333333333332
Air India,Kolkata,Banglore,2,12,6,27.75
Jet Airways,Kolkata,Banglore,1,1,5,17.083333333333332
Jet Airways,Banglore,Delhi,1,18,3,6.333333333333333
Air India,Delhi,Cochin,1,27,5,16.083333333333332
Jet Airways,Delhi,Cochin,1,6,3,9.166666666666666
Jet Airways,Kolkata,Banglore,1,6,6,22.75
IndiGo,Kolkata,Banglore,0,21,6,2.5833333333333335
IndiGo,Delhi,Cochin,1,18,5,5.0
Vistara,Banglore,Delhi,1,21,3,15.25
Jet Airways,Kolkata,Banglore,1,18,5,13.333333333333334
Jet Airways,Kolkata,Banglore,1,24,3,17.083333333333332
Vistara,Mumbai,Hyderabad,1,6,3,17.75
IndiGo,Delhi,Cochin,1,24,4,5.416666666666667
Air India,Delhi,Cochin,1,6,4,5.333333333333333
Jet Airways,Delhi,Cochin,1,1,6,14.416666666666666
IndiGo,Chennai,Kolkata,0,6,5,2.3333333333333335
Air India,Delhi,Cochin,1,27,5,15.916666666666666
Jet Airways,Banglore,Delhi,1,6,3,22.916666666666668
SpiceJet,Banglore,Delhi,0,9,5,2.9166666666666665
IndiGo,Mumbai,Hyderabad,0,18,6,1.5
Multiple carriers,Delhi,Cochin,1,24,6,15.5
Jet Airways,Banglore,Delhi,0,12,6,3.0
Air India,Banglore,Delhi,1,9,3,26.0
IndiGo,Banglore,Delhi,0,21,3,2.8333333333333335
IndiGo,Delhi,Cochin,1,1,6,6.916666666666667
Jet Airways,Delhi,Cochin,1,6,6,23.583333333333332
SpiceJet,Kolkata,Banglore,0,9,6,2.5
Jet Airways,Delhi,Cochin,1,1,6,10.166666666666666
Jet Airways,Kolkata,Banglore,1,12,5,11.5
Jet Airways,Delhi,Cochin,1,27,5,27.0
Jet Airways,Delhi,Cochin,1,18,5,6.583333333333333
IndiGo,Banglore,Delhi,0,18,6,2.8333333333333335
Air Asia,Kolkata,Banglore,2,9,6,8.333333333333334
Jet Airways,Banglore,Delhi,0,18,6,3.0833333333333335
Air India,Delhi,Cochin,2,15,5,20.333333333333332
IndiGo,Chennai,Kolkata,0,27,5,2.3333333333333335
IndiGo,Kolkata,Banglore,0,18,6,2.75
Jet Airways,Delhi,Cochin,1,9,3,7.583333333333333
SpiceJet,Kolkata,Banglore,0,18,3,2.6666666666666665
Jet Airways,Kolkata,Banglore,1,9,6,12.916666666666666
Multiple carriers,Delhi,Cochin,1,9,3,11.25
SpiceJet,Kolkata,Banglore,0,21,6,2.5
IndiGo,Banglore,Delhi,0,12,4,2.8333333333333335
IndiGo,Kolkata,Banglore,1,24,5,4.833333333333333
Jet Airways,Delhi,Cochin,1,9,6,18.333333333333332
Jet Airways,Delhi,Cochin,2,18,5,8.916666666666666
Multiple carriers,Delhi,Cochin,1,6,6,13.0
Air India,Delhi,Cochin,1,15,6,10.666666666666666
Multiple carriers,Delhi,Cochin,1,9,5,13.25
Jet Airways,Kolkata,Banglore,1,6,5,13.333333333333334
Vistara,Banglore,Delhi,0,21,4,2.5833333333333335
Jet Airways,Banglore,Delhi,0,24,4,2.9166666666666665
IndiGo,Delhi,Cochin,1,24,6,12.5
Jet Airways,Delhi,Cochin,2,21,5,7.083333333333333
GoAir,Delhi,Cochin,1,18,5,6.166666666666667
IndiGo,Kolkata,Banglore,0,27,4,2.75
Air Asia,Banglore,Delhi,0,18,3,2.8333333333333335
IndiGo,Delhi,Cochin,1,21,3,14.75
IndiGo,Delhi,Cochin,1,24,6,5.75
SpiceJet,Chennai,Kolkata,0,21,6,2.25
Jet Airways,Delhi,Cochin,1,6,3,8.916666666666666
Jet Airways,Mumbai,Hyderabad,0,9,6,1.4166666666666667
Air India,Mumbai,Hyderabad,2,6,3,33.25
Jet Airways,Banglore,Delhi,1,1,3,6.75
Air India,Delhi,Cochin,2,15,6,23.5
IndiGo,Banglore,Delhi,0,21,6,2.75
Jet Airways,Kolkata,Banglore,1,18,5,26.25
Jet Airways,Kolkata,Banglore,1,1,4,7.5
IndiGo,Mumbai,Hyderabad,0,12,6,1.5
Air India,Delhi,Cochin,2,21,3,36.416666666666664
Jet Airways,Kolkata,Banglore,1,21,5,28.083333333333332
Jet Airways,Kolkata,Banglore,1,12,6,12.333333333333334
Jet Airways,Delhi,Cochin,1,21,3,6.416666666666667
Jet Airways,Delhi,Cochin,2,9,6,17.083333333333332
IndiGo,Mumbai,Hyderabad,0,24,5,1.5
Jet Airways,Delhi,Cochin,1,15,6,10.166666666666666
SpiceJet,Kolkata,Banglore,1,6,6,8.666666666666666
Multiple carriers Premium economy,Delhi,Cochin,1,21,3,13.5
Jet Airways,Kolkata,Banglore,1,24,3,17.083333333333332
SpiceJet,Delhi,Cochin,1,1,6,5.25
IndiGo,Delhi,Cochin,1,15,5,5.0
Jet Airways,Banglore,Delhi,1,12,3,14.583333333333334
Air India,Delhi,Cochin,2,6,3,38.25
Air India,Kolkata,Banglore,1,24,3,11.25
Multiple carriers,Delhi,Cochin,1,9,3,7.333333333333333
Jet Airways,Delhi,Cochin,2,1,6,21.666666666666668
IndiGo,Kolkata,Banglore,0,3,3,2.6666666666666665
IndiGo,Delhi,Cochin,0,21,5,3.25
IndiGo,Delhi,Cochin,1,9,3,13.5
Air India,Delhi,Cochin,0,15,4,2.8333333333333335
Multiple carriers,Delhi,Cochin,1,15,5,8.666666666666666
Jet Airways,Delhi,Cochin,1,27,5,6.583333333333333
Jet Airways,Delhi,Cochin,1,15,6,23.75
Air Asia,Delhi,Cochin,1,9,6,5.666666666666667
Jet Airways,Banglore,Delhi,0,27,6,2.9166666666666665
Jet Airways,Delhi,Cochin,1,9,3,24.583333333333332
Jet Airways,Delhi,Cochin,1,6,6,8.666666666666666
IndiGo,Banglore,Delhi,0,27,6,2.9166666666666665
Vistara,Banglore,Delhi,0,9,4,2.8333333333333335
Jet Airways,Delhi,Cochin,1,18,5,25.5
SpiceJet,Mumbai,Hyderabad,1,6,3,8.25
Jet Airways,Kolkata,Banglore,1,9,5,12.333333333333334
Air India,Mumbai,Hyderabad,2,6,3,14.083333333333334
Multiple carriers,Delhi,Cochin,1,27,5,8.666666666666666
IndiGo,Banglore,Delhi,0,24,3,2.75
IndiGo,Delhi,Cochin,0,21,6,3.25
Jet Airways,Delhi,Cochin,2,6,3,24.583333333333332
Jet Airways,Delhi,Cochin,1,3,6,16.916666666666668
Jet Airways,Kolkata,Banglore,1,24,5,14.583333333333334
IndiGo,Banglore,Delhi,0,3,4,2.8333333333333335
Jet Airways,Banglore,Delhi,1,21,3,14.083333333333334
Jet Airways,Kolkata,Banglore,1,6,5,9.75
Jet Airways,Delhi,Cochin,1,12,6,11.0
Jet Airways,Delhi,Cochin,1,27,6,10.333333333333334
IndiGo,Chennai,Kolkata,0,3,3,2.3333333333333335
Air India,Banglore,Delhi,1,9,3,23.666666666666668
Jet Airways,Kolkata,Banglore,1,1,5,12.25
IndiGo,Kolkata,Banglore,1,24,3,5.583333333333333
Jet Airways,Kolkata,Banglore,1,1,4,27.583333333333332
IndiGo,Delhi,Cochin,0,3,6,3.25
Air India,Kolkata,Banglore,2,21,5,23.083333333333332
Multiple carriers,Delhi,Cochin,1,6,6,9.5
IndiGo,Mumbai,Hyderabad,0,21,3,1.4166666666666667
Jet Airways,Banglore,Delhi,0,6,6,2.9166666666666665
Jet Airways,Banglore,Delhi,1,6,3,17.25
Jet Airways,Kolkata,Banglore,1,24,3,22.5
Air India,Delhi,Cochin,1,21,4,11.75
Jet Airways,Banglore,Delhi,0,15,5,2.75
Air India,Delhi,Cochin,2,24,6,28.833333333333332
Jet Airways,Delhi,Cochin,2,24,5,29.333333333333332
Multiple carriers,Delhi,Cochin,1,24,6,12.0
Jet Airways,Mumbai,Hyderabad,0,24,5,1.4166666666666667
Jet Airways,Kolkata,Banglore,1,1,4,26.833333333333332
IndiGo,Mumbai,Hyderabad,0,3,6,1.5
Vistara,Banglore,Delhi,0,1,5,2.8333333333333335
Air Asia,Kolkata,Banglore,0,21,6,2.5
IndiGo,Delhi,Cochin,1,12,6,16.083333333333332
Jet Airways,Delhi,Cochin,1,6,6,10.916666666666666
Jet Airways,Kolkata,Banglore,1,9,5,15.75
Air Asia,Delhi,Cochin,1,27,4,14.416666666666666
Air India,Delhi,Cochin,2,27,6,23.666666666666668
Air India,Delhi,Cochin,2,6,3,19.666666666666668
Air Asia,Delhi,Cochin,1,6,6,10.416666666666666
SpiceJet,Kolkata,Banglore,0,1,5,2.5833333333333335
Air India,Delhi,Cochin,2,3,6,24.833333333333332
Multiple carriers,Delhi,Cochin,1,9,5,14.0
Air India,Kolkata,Banglore,1,9,5,9.083333333333334
Jet Airways,Kolkata,Banglore,1,9,5,20.0
Air India,Banglore,Delhi,0,9,4,3.0
Jet Airways,Kolkata,Banglore,1,24,3,22.416666666666668
IndiGo,Banglore,Delhi,0,12,4,2.8333333333333335
Air India,Kolkata,Banglore,1,24,5,9.083333333333334
Jet Airways,Banglore,Delhi,1,12,3,19.583333333333332
Jet Airways,Delhi,Cochin,1,18,5,26.583333333333332
Air India,Kolkata,Banglore,2,21,5,20.166666666666668
IndiGo,Mumbai,Hyderabad,0,15,6,1.5
IndiGo,Kolkata,Banglore,0,12,5,2.75
Jet Airways,Delhi,Cochin,2,27,6,26.916666666666668
Multiple carriers,Delhi,Cochin,1,6,3,15.166666666666666
SpiceJet,Kolkata,Banglore,0,27,6,2.4166666666666665
IndiGo,Delhi,Cochin,1,21,5,13.0
Multiple carriers,Delhi,Cochin,1,1,6,10.5
Vistara,Banglore,Delhi,0,24,4,2.75
IndiGo,Delhi,Cochin,0,9,6,3.25
Jet Airways,Delhi,Cochin,1,15,6,22.583333333333332
IndiGo,Banglore,Delhi,0,1,3,2.9166666666666665
Jet Airways,Kolkata,Banglore,1,1,4,24.75
Jet Airways,Delhi,Cochin,1,27,6,11.916666666666666
Air India,Delhi,Cochin,2,18,5,23.0
Jet Airways,Delhi,Cochin,2,1,6,26.916666666666668
