Airline,Source,Destination,Total_Stops,Price,Journey_day,Journey_month,Total_Duration
Jet Airways,Banglore,Delhi,non-stop,8016,1,6,3.0
Multiple carriers,Delhi,Cochin,1 stop,12524,24,6,6.583333333333333
Jet Airways,Delhi,Cochin,1 stop,6017,27,3,16.583333333333332
Air India,Delhi,Cochin,2 stops,10441,9,5,21.25
SpiceJet,Banglore,Delhi,non-stop,3625,1,4,2.9166666666666665
Air India,Delhi,Cochin,3 stops,15586,9,3,38.0
Air India,Delhi,Cochin,1 stop,7199,27,3,11.25
Jet Airways,Delhi,Cochin,2 stops,12273,21,3,22.08333333333333
Multiple carriers,Delhi,Cochin,1 stop,7530,6,6,6.5
Jet Airways,Mumbai,Hyderabad,non-stop,5678,21,5,1.5
Air India,Delhi,Cochin,2 stops,11753,24,6,20.75
SpiceJet,Mumbai,Hyderabad,non-stop,1965,21,5,1.5
IndiGo,Delhi,Cochin,1 stop,10208,21,3,6.666666666666667
IndiGo,Delhi,Cochin,1 stop,5054,21,5,5.083333333333333
IndiGo,Delhi,Cochin,1 stop,14871,3,3,7.083333333333333
Jet Airways,Delhi,Cochin,1 stop,12373,18,5,11.916666666666666
SpiceJet,Mumbai,Hyderabad,non-stop,2017,15,6,1.5
Jet Airways,Kolkata,Banglore,1 stop,10661,24,3,14.833333333333334
Multiple carriers,Delhi,Cochin,1 stop,9794,9,5,8.666666666666666
Jet Airways,Kolkata,Banglore,1 stop,13067,9,5,27.166666666666668
SpiceJet,Chennai,Kolkata,non-stop,7298,3,3,2.333333333333333
IndiGo,Banglore,Delhi,non-stop,7648,3,3,2.9166666666666665
Air India,Kolkata,Banglore,2 stops,10676,12,5,9.833333333333334
Air India,Banglore,Delhi,non-stop,6961,3,6,2.75
IndiGo,Delhi,Cochin,1 stop,6979,15,5,14.083333333333334
Multiple carriers,Delhi,Cochin,1 stop,13587,27,5,12.0
Jet Airways,Kolkata,Banglore,1 stop,10844,24,5,9.5
IndiGo,Banglore,Delhi,non-stop,3943,12,5,2.833333333333333
IndiGo,Delhi,Cochin,1 stop,6838,12,6,11.75
Jet Airways,Delhi,Cochin,1 stop,6542,15,4,6.0
Jet Airways,Delhi,Cochin,1 stop,12239,21,5,11.916666666666666
Jet Airways,Kolkata,Banglore,1 stop,14388,12,5,12.166666666666666
IndiGo,Kolkata,Banglore,non-stop,4148,12,3,2.833333333333333
Multiple carriers,Delhi,Cochin,2 stops,16840,18,5,10.416666666666666
Multiple carriers,Delhi,Cochin,1 stop,9646,3,6,12.75
Jet Airways,Kolkata,Banglore,1 stop,14571,9,6,21.08333333333333
IndiGo,Delhi,Cochin,1 stop,7923,15,5,9.5
Jet Airways,Kolkata,Banglore,1 stop,8586,12,5,8.666666666666666
Multiple carriers,Delhi,Cochin,1 stop,9646,3,6,9.25
Jet Airways,Kolkata,Banglore,1 stop,14388,18,5,21.916666666666668
Jet Airways,Kolkata,Banglore,1 stop,13044,12,6,23.83333333333333
Multiple carriers,Delhi,Cochin,1 stop,10197,21,5,9.0
Jet Airways,Delhi,Cochin,1 stop,14714,1,6,23.25
Air India,Delhi,Cochin,1 stop,9929,1,6,9.25
Jet Airways,Delhi,Cochin,1 stop,6017,21,3,5.583333333333333
SpiceJet,Chennai,Kolkata,non-stop,3597,27,6,2.25
Air India,Delhi,Cochin,1 stop,5704,21,3,9.5
Jet Airways,Delhi,Cochin,1 stop,14714,3,6,8.666666666666666
Air India,Banglore,Delhi,non-stop,5228,12,5,2.75
Jet Airways,Kolkata,Banglore,1 stop,11467,1,4,25.33333333333333
Vistara,Banglore,Delhi,non-stop,4668,6,6,2.833333333333333
IndiGo,Banglore,Delhi,non-stop,4591,18,4,3.0
IndiGo,Banglore,Delhi,non-stop,3943,12,5,3.0
Air India,Banglore,Delhi,non-stop,5228,21,4,2.75
Jet Airways,Delhi,Cochin,1 stop,12242,27,3,16.583333333333332
Air India,Delhi,Cochin,2 stops,11185,9,6,26.33333333333333
IndiGo,Delhi,Cochin,1 stop,6573,9,4,16.25
Jet Airways,Kolkata,Banglore,1 stop,14781,15,5,6.083333333333333
Air India,Kolkata,Banglore,2 stops,14960,12,6,16.166666666666668
IndiGo,Chennai,Kolkata,non-stop,4332,15,5,2.4166666666666665
Air Asia,Banglore,Delhi,non-stop,7652,3,3,2.833333333333333
Jet Airways,Kolkata,Banglore,1 stop,14151,24,5,11.5
SpiceJet,Banglore,Delhi,non-stop,4319,12,6,2.833333333333333
Jet Airways,Delhi,Cochin,2 stops,10929,21,3,23.666666666666668
Air India,Kolkata,Banglore,2 stops,11491,24,3,27.0
IndiGo,Delhi,Cochin,non-stop,6015,18,4,3.25
Jet Airways,Kolkata,Banglore,1 stop,12692,12,6,11.5
Air Asia,Kolkata,Banglore,non-stop,4384,9,3,2.5
IndiGo,Banglore,Delhi,non-stop,3943,3,6,2.75
Jet Airways,Delhi,Cochin,1 stop,12373,18,5,10.0
Jet Airways,Banglore,Delhi,1 stop,19225,6,3,5.25
Jet Airways,Delhi,Cochin,1 stop,14053,9,3,23.08333333333333
Air India,Banglore,Delhi,non-stop,5911,12,4,2.833333333333333
Multiple carriers,Delhi,Cochin,1 stop,10877,9,6,12.333333333333334
Jet Airways,Kolkata,Banglore,1 stop,7757,6,6,9.75
IndiGo,Delhi,Cochin,1 stop,6558,21,3,8.583333333333334
IndiGo,Kolkata,Banglore,non-stop,4804,21,4,2.75
Jet Airways,Mumbai,Hyderabad,non-stop,5678,18,3,1.5
Jet Airways,Delhi,Cochin,1 stop,12373,9,5,18.416666666666668
Jet Airways,Banglore,Delhi,non-stop,5198,6,5,2.75
IndiGo,Kolkata,Banglore,non-stop,6064,1,6,2.5
Jet Airways,Delhi,Cochin,1 stop,15029,9,3,6.583333333333333
Jet Airways,Delhi,Cochin,2 stops,10909,9,4,13.5
Multiple carriers,Delhi,Cochin,1 stop,18492,9,3,11.083333333333334
Jet Airways,Delhi,Cochin,1 stop,10262,24,6,26.166666666666668
Jet Airways,Kolkata,Banglore,1 stop,8781,18,5,5.75
IndiGo,Delhi,Cochin,1 stop,6442,27,5,7.583333333333333
Jet Airways,Mumbai,Hyderabad,1 stop,20120,12,3,6.75
Vistara,Banglore,Delhi,non-stop,4878,27,5,2.75
Jet Airways,Banglore,Delhi,1 stop,16736,6,3,12.666666666666666
SpiceJet,Kolkata,Banglore,1 stop,9630,24,5,7.25
Vistara,Kolkata,Banglore,1 stop,8610,9,5,11.666666666666666
Vistara,Chennai,Kolkata,non-stop,3687,27,6,2.25
Vistara,Kolkata,Banglore,1 stop,8452,15,5,12.75
IndiGo,Banglore,Delhi,non-stop,3943,18,5,2.833333333333333
IndiGo,Mumbai,Hyderabad,non-stop,3342,15,3,1.4166666666666667
Jet Airways,Kolkata,Banglore,1 stop,13067,12,5,18.0
Vistara,Banglore,Delhi,non-stop,4878,6,5,2.75
Jet Airways,Kolkata,Banglore,1 stop,14388,9,5,12.916666666666666
Jet Airways,Delhi,Cochin,2 stops,16704,27,5,15.0
Air India,Mumbai,Hyderabad,non-stop,3100,21,5,1.25
Air India,Banglore,Delhi,3 stops,13387,12,3,24.666666666666668
IndiGo,Mumbai,Hyderabad,non-stop,4049,9,6,1.5
Jet Airways,Delhi,Cochin,2 stops,13029,18,5,13.5
SpiceJet,Banglore,Delhi,non-stop,3919,9,4,2.9166666666666665
IndiGo,Chennai,Kolkata,non-stop,3850,3,5,2.4166666666666665
Air India,Delhi,Cochin,2 stops,8839,24,6,20.166666666666668
Jet Airways,Kolkata,Banglore,1 stop,7064,1,4,12.166666666666666
Jet Airways,Kolkata,Banglore,1 stop,13941,12,5,12.25
Air India,Kolkata,Banglore,3 stops,13007,24,5,24.5
Jet Airways,Kolkata,Banglore,1 stop,14781,18,5,8.5
Jet Airways,Mumbai,Hyderabad,non-stop,2071,18,3,1.5
Jet Airways,Delhi,Cochin,non-stop,4256,21,6,3.25
Vistara,Banglore,Delhi,non-stop,7923,9,3,2.583333333333333
Air Asia,Kolkata,Banglore,non-stop,3782,15,3,2.5
Jet Airways,Kolkata,Banglore,1 stop,12384,15,5,13.333333333333334
Multiple carriers,Delhi,Cochin,1 stop,8565,21,3,15.583333333333334
IndiGo,Delhi,Cochin,1 stop,6232,21,3,5.0
IndiGo,Banglore,Delhi,non-stop,4777,9,3,2.833333333333333
Air India,Kolkata,Banglore,non-stop,4145,1,6,2.583333333333333
Air Asia,Kolkata,Banglore,1 stop,5192,15,5,12.0
Air India,Delhi,Cochin,non-stop,4729,1,4,2.833333333333333
IndiGo,Delhi,Cochin,1 stop,6093,3,6,14.333333333333334
Air India,Kolkata,Banglore,1 stop,8891,1,5,9.083333333333334
Jet Airways,Delhi,Cochin,1 stop,12242,27,3,12.416666666666666
Jet Airways,Kolkata,Banglore,1 stop,11467,1,5,25.0
Jet Airways,Kolkata,Banglore,1 stop,14781,21,5,12.166666666666666
Multiple carriers,Delhi,Cochin,1 stop,10197,18,5,12.0
Jet Airways,Banglore,Delhi,1 stop,17261,6,3,12.083333333333334
Air India,Delhi,Cochin,1 stop,7480,1,5,12.75
IndiGo,Kolkata,Banglore,non-stop,4804,21,5,2.583333333333333
SpiceJet,Kolkata,Banglore,non-stop,4439,21,4,2.4166666666666665
Jet Airways,Delhi,Cochin,2 stops,10368,6,6,22.916666666666668
SpiceJet,Delhi,Cochin,1 stop,6065,21,3,5.166666666666667
Jet Airways,Kolkata,Banglore,1 stop,8586,24,5,9.75
IndiGo,Delhi,Cochin,non-stop,5406,18,3,3.083333333333333
Jet Airways,Delhi,Cochin,2 stops,12142,6,6,10.0
Jet Airways,Delhi,Cochin,1 stop,14714,6,6,10.333333333333334
Jet Airways,Delhi,Cochin,1 stop,10262,15,6,26.166666666666668
Air India,Banglore,Delhi,1 stop,15434,6,3,12.083333333333334
Air India,Kolkata,Banglore,2 stops,10676,18,5,23.166666666666668
IndiGo,Kolkata,Banglore,non-stop,4804,21,4,2.583333333333333
Jet Airways,Delhi,Cochin,2 stops,13014,9,6,17.083333333333332
IndiGo,Banglore,Delhi,non-stop,3943,3,5,2.833333333333333
Air India,Mumbai,Hyderabad,2 stops,9678,6,3,16.5
Jet Airways,Kolkata,Banglore,1 stop,14781,15,5,11.416666666666666
Multiple carriers,Delhi,Cochin,1 stop,10197,15,5,10.0
Air India,Delhi,Cochin,2 stops,10861,9,5,13.333333333333334
Jet Airways,Kolkata,Banglore,1 stop,10844,1,5,7.5
Air India,Delhi,Cochin,1 stop,7480,21,5,16.083333333333332
IndiGo,Delhi,Cochin,1 stop,5684,24,6,8.333333333333334
Jet Airways,Delhi,Cochin,1 stop,14714,6,6,27.0
Jet Airways,Kolkata,Banglore,1 stop,9314,1,4,8.416666666666666
Air India,Kolkata,Banglore,non-stop,4435,15,3,2.583333333333333
Multiple carriers,Delhi,Cochin,1 stop,11789,27,6,11.5
SpiceJet,Banglore,Delhi,non-stop,3919,3,4,2.9166666666666665
Jet Airways,Banglore,Delhi,non-stop,5198,6,4,2.9166666666666665
SpiceJet,Banglore,Delhi,non-stop,4273,24,3,2.833333333333333
Vistara,Kolkata,Banglore,1 stop,8820,9,5,25.83333333333333
IndiGo,Mumbai,Hyderabad,non-stop,2754,6,5,1.5
Vistara,Kolkata,Banglore,1 stop,8085,9,6,27.08333333333333
Jet Airways,Kolkata,Banglore,1 stop,10539,9,6,24.666666666666668
Jet Airways,Kolkata,Banglore,1 stop,14676,9,6,12.5
Jet Airways,Delhi,Cochin,1 stop,6017,27,3,26.166666666666668
Jet Airways,Banglore,Delhi,non-stop,4544,1,4,3.083333333333333
Trujet,Mumbai,Hyderabad,1 stop,4140,6,3,3.25
Jet Airways,Banglore,Delhi,non-stop,7229,3,5,2.9166666666666665
Air India,Delhi,Cochin,2 stops,16373,9,3,21.25
Air India,Kolkata,Banglore,2 stops,10991,1,5,17.416666666666668
Jet Airways,Kolkata,Banglore,1 stop,9663,18,5,21.916666666666668
Air India,Banglore,Delhi,1 stop,14305,1,3,25.33333333333333
Air Asia,Delhi,Cochin,1 stop,6752,15,5,14.416666666666666
Jet Airways,Kolkata,Banglore,1 stop,8529,12,6,16.833333333333332
IndiGo,Delhi,Cochin,non-stop,4729,27,3,3.25
Multiple carriers,Delhi,Cochin,1 stop,7670,18,5,12.25
Jet Airways,Mumbai,Hyderabad,non-stop,4995,3,5,1.5
Jet Airways,Banglore,Delhi,non-stop,7229,1,5,3.0
IndiGo,Banglore,Delhi,non-stop,4823,27,4,2.9166666666666665
Air Asia,Kolkata,Banglore,non-stop,3782,27,3,2.5
Jet Airways,Delhi,Cochin,1 stop,12898,21,5,24.75
SpiceJet,Kolkata,Banglore,non-stop,3841,24,5,2.333333333333333
Multiple carriers,Delhi,Cochin,1 stop,9627,18,5,8.416666666666666
Jet Airways,Kolkata,Banglore,1 stop,14571,9,6,14.833333333333334
IndiGo,Kolkata,Banglore,non-stop,6985,24,3,2.583333333333333
Jet Airways,Mumbai,Hyderabad,non-stop,8040,21,6,1.4166666666666667
IndiGo,Kolkata,Banglore,non-stop,4804,21,6,2.583333333333333
Multiple carriers,Delhi,Cochin,1 stop,10678,27,6,14.083333333333334
Jet Airways,Kolkata,Banglore,1 stop,14231,24,3,25.25
Jet Airways,Kolkata,Banglore,1 stop,8529,12,6,20.33333333333333
Air India,Delhi,Cochin,2 stops,11753,24,6,8.333333333333334
Jet Airways,Delhi,Cochin,2 stops,16704,18,5,29.33333333333333
Jet Airways,Kolkata,Banglore,1 stop,13374,6,6,9.75
Air India,Mumbai,Hyderabad,non-stop,3625,1,5,1.3333333333333333
Jet Airways,Delhi,Cochin,1 stop,16079,21,5,27.0
Jet Airways,Delhi,Cochin,1 stop,10262,27,6,15.666666666666666
Jet Airways,Kolkata,Banglore,1 stop,9663,15,5,5.5
Multiple carriers,Delhi,Cochin,1 stop,9595,18,5,7.5
IndiGo,Kolkata,Banglore,non-stop,4804,24,6,2.583333333333333
Air India,Kolkata,Banglore,2 stops,12744,9,6,19.416666666666668
Air India,Banglore,Delhi,non-stop,6961,1,6,2.833333333333333
Jet Airways,Kolkata,Banglore,1 stop,9663,6,5,14.583333333333334
Multiple carriers,Delhi,Cochin,1 stop,7575,21,5,8.666666666666666
Air India,Banglore,Delhi,2 stops,13355,3,3,15.416666666666666
Air India,Kolkata,Banglore,2 stops,12592,24,5,28.33333333333333
Air India,Mumbai,Hyderabad,non-stop,3625,1,6,1.5
Jet Airways,Delhi,Cochin,1 stop,10262,24,6,13.416666666666666
Air India,Delhi,Cochin,2 stops,9443,21,5,23.5
Air India,Delhi,Cochin,1 stop,18959,9,3,10.583333333333334
IndiGo,Mumbai,Hyderabad,non-stop,4784,3,3,1.4166666666666667
Air India,Kolkata,Banglore,1 stop,7893,1,4,18.5
Air India,Delhi,Cochin,2 stops,14431,27,6,24.83333333333333
Jet Airways,Mumbai,Hyderabad,non-stop,3210,24,5,1.5
Multiple carriers,Delhi,Cochin,1 stop,13677,9,3,15.0
Air India,Delhi,Cochin,1 stop,7480,27,5,27.33333333333333
Air India,Delhi,Cochin,1 stop,8372,24,6,12.666666666666666
Jet Airways,Delhi,Cochin,2 stops,11664,27,3,23.0
Air India,Banglore,Delhi,non-stop,6961,18,6,2.75
Air India,Banglore,Delhi,non-stop,6121,24,4,2.75
Air India,Banglore,Delhi,non-stop,5911,12,4,2.75
GoAir,Banglore,Delhi,non-stop,3398,6,5,2.833333333333333
Multiple carriers,Delhi,Cochin,1 stop,7530,9,6,6.5
GoAir,Banglore,Delhi,non-stop,3419,24,5,2.75
Vistara,Banglore,Delhi,non-stop,6558,24,3,2.9166666666666665
Air India,Kolkata,Banglore,1 stop,10203,9,6,23.916666666666668
Jet Airways,Banglore,Delhi,1 stop,11087,12,3,25.416666666666668
SpiceJet,Banglore,Delhi,non-stop,5575,24,3,2.833333333333333
Air Asia,Delhi,Cochin,1 stop,6152,24,4,14.5
Jet Airways,Kolkata,Banglore,1 stop,5608,9,5,7.25
Jet Airways,Banglore,Delhi,1 stop,17261,6,3,22.75
Jet Airways,Delhi,Cochin,2 stops,15129,9,5,26.916666666666668
GoAir,Banglore,Delhi,non-stop,3419,6,5,2.75
IndiGo,Delhi,Cochin,1 stop,6218,21,3,4.75
Jet Airways,Delhi,Cochin,1 stop,14714,3,6,10.333333333333334
Multiple carriers,Delhi,Cochin,1 stop,14848,3,6,7.75
Jet Airways,Kolkata,Banglore,1 stop,9358,12,5,7.25
Air India,Kolkata,Banglore,1 stop,8366,6,5,22.5
Multiple carriers,Delhi,Cochin,1 stop,15342,6,3,7.75
Jet Airways,Mumbai,Hyderabad,non-stop,5678,21,3,1.3333333333333333
IndiGo,Kolkata,Banglore,non-stop,4804,6,5,2.583333333333333
Jet Airways,Kolkata,Banglore,1 stop,14571,24,5,7.916666666666667
Jet Airways,Kolkata,Banglore,1 stop,12681,1,4,12.333333333333334
Jet Airways,Banglore,Delhi,1 stop,17261,6,3,13.0
Vistara,Kolkata,Banglore,1 stop,9922,9,6,17.75
Jet Airways,Kolkata,Banglore,1 stop,10844,18,5,17.083333333333332
SpiceJet,Banglore,Delhi,non-stop,4423,21,4,2.6666666666666665
IndiGo,Banglore,Delhi,non-stop,3419,24,5,2.75
Jet Airways,Delhi,Cochin,1 stop,14714,24,6,5.583333333333333
Jet Airways,Banglore,Delhi,1 stop,11087,9,3,5.666666666666667
IndiGo,Delhi,Cochin,1 stop,6316,27,6,9.5
SpiceJet,Chennai,Kolkata,non-stop,3543,27,5,2.25
Jet Airways,Kolkata,Banglore,1 stop,14571,6,6,17.083333333333332
Jet Airways,Kolkata,Banglore,1 stop,14676,9,6,8.416666666666666
Jet Airways,Banglore,Delhi,1 stop,17261,6,3,16.583333333333332
Jet Airways,Kolkata,Banglore,1 stop,13941,15,5,15.166666666666666
Air India,Delhi,Cochin,1 stop,13348,3,3,26.08333333333333
Jet Airways,Banglore,Delhi,non-stop,8016,18,6,2.9166666666666665
Jet Airways,Delhi,Cochin,1 stop,12898,27,5,5.5
Jet Airways,Banglore,Delhi,non-stop,7229,9,4,3.083333333333333
SpiceJet,Mumbai,Hyderabad,non-stop,2017,27,6,1.5
Jet Airways,Banglore,Delhi,1 stop,16736,6,3,11.166666666666666
SpiceJet,Kolkata,Banglore,non-stop,3873,18,6,2.5
IndiGo,Delhi,Cochin,1 stop,6704,9,5,8.166666666666666
Jet Airways,Kolkata,Banglore,1 stop,10844,6,6,24.916666666666668
Vistara,Banglore,Delhi,non-stop,7450,9,3,2.6666666666666665
Jet Airways,Banglore,Delhi,1 stop,16736,6,3,12.166666666666666
Jet Airways,Delhi,Cochin,1 stop,10262,15,6,21.58333333333333
Air India,Kolkata,Banglore,2 stops,10991,1,5,34.416666666666664
SpiceJet,Banglore,Delhi,non-stop,3311,6,6,2.9166666666666665
IndiGo,Delhi,Cochin,1 stop,7081,24,5,14.916666666666666
IndiGo,Banglore,Delhi,non-stop,3943,27,4,3.0
Air India,Delhi,Cochin,1 stop,8372,21,5,6.25
Air India,Delhi,Cochin,2 stops,11701,9,3,23.5
Jet Airways,Banglore,Delhi,non-stop,5769,3,6,2.9166666666666665
Multiple carriers,Delhi,Cochin,2 stops,15965,12,6,10.416666666666666
SpiceJet,Banglore,Delhi,non-stop,4423,12,6,2.833333333333333
Jet Airways,Banglore,Delhi,1 stop,6136,15,3,4.666666666666667
Jet Airways,Banglore,Delhi,1 stop,11087,12,3,6.083333333333333
IndiGo,Chennai,Kolkata,non-stop,3540,3,6,2.4166666666666665
Jet Airways,Delhi,Cochin,1 stop,12898,21,5,14.416666666666666
IndiGo,Banglore,Delhi,non-stop,4591,18,4,2.75
Air India,Delhi,Cochin,1 stop,8635,24,3,27.666666666666668
Jet Airways,Delhi,Cochin,1 stop,14714,27,6,10.0
Jet Airways,Kolkata,Banglore,1 stop,14151,18,5,22.75
Multiple carriers,Delhi,Cochin,1 stop,8835,1,6,14.333333333333334
Air India,Kolkata,Banglore,1 stop,11936,21,5,15.416666666666666
Jet Airways,Delhi,Cochin,2 stops,13882,9,6,15.0
Air India,Delhi,Cochin,1 stop,5117,1,4,16.083333333333332
Jet Airways,Banglore,Delhi,non-stop,4544,24,5,2.9166666666666665
IndiGo,Delhi,Cochin,1 stop,6442,15,5,15.666666666666666
Air India,Delhi,Cochin,2 stops,10441,9,5,21.25
IndiGo,Mumbai,Hyderabad,non-stop,2227,21,5,1.5833333333333333
Jet Airways,Banglore,Delhi,non-stop,7229,15,4,2.75
Jet Airways,Delhi,Cochin,1 stop,10262,1,6,6.0
Jet Airways,Banglore,Delhi,1 stop,13817,12,3,13.333333333333334
SpiceJet,Delhi,Cochin,1 stop,5975,21,5,4.916666666666667
IndiGo,Kolkata,Banglore,non-stop,4148,21,3,2.6666666666666665
Multiple carriers,Delhi,Cochin,1 stop,13587,6,6,9.5
Jet Airways,Mumbai,Hyderabad,non-stop,2759,21,3,1.3333333333333333
Jet Airways,Banglore,Delhi,non-stop,7229,15,5,3.0
Air India,Delhi,Cochin,2 stops,13547,9,5,24.58333333333333
SpiceJet,Kolkata,Banglore,non-stop,3873,21,6,2.583333333333333
Jet Airways,Kolkata,Banglore,1 stop,14388,21,5,12.166666666666666
Jet Airways,Kolkata,Banglore,1 stop,13731,24,5,15.166666666666666
SpiceJet,Kolkata,Banglore,non-stop,3815,27,3,2.6666666666666665
Jet Airways,Mumbai,Hyderabad,non-stop,5678,15,3,1.5
Jet Airways,Kolkata,Banglore,1 stop,9663,9,5,24.916666666666668
GoAir,Kolkata,Banglore,1 stop,8855,21,5,7.583333333333333
Jet Airways,Delhi,Cochin,2 stops,15129,9,5,18.75
Jet Airways,Banglore,Delhi,1 stop,13555,18,3,6.083333333333333
Jet Airways,Kolkata,Banglore,1 stop,10844,21,5,11.083333333333334
Jet Airways,Banglore,Delhi,1 stop,7832,21,3,9.666666666666666
Jet Airways,Delhi,Cochin,2 stops,11150,27,6,13.5
Vistara,Kolkata,Banglore,1 stop,8452,9,5,14.416666666666666
Multiple carriers,Delhi,Cochin,1 stop,9646,9,6,6.416666666666667
IndiGo,Banglore,Delhi,non-stop,3943,24,6,2.833333333333333
GoAir,Delhi,Cochin,1 stop,5281,12,6,5.916666666666667
Air India,Delhi,Cochin,2 stops,14667,1,6,14.416666666666666
Jet Airways,Kolkata,Banglore,1 stop,14571,24,5,13.333333333333334
Jet Airways,Banglore,Delhi,1 stop,17471,6,3,22.58333333333333
Jet Airways,Delhi,Cochin,1 stop,10577,12,6,11.0
Multiple carriers,Delhi,Cochin,1 stop,14848,24,6,7.75
IndiGo,Banglore,Delhi,non-stop,4591,15,4,2.833333333333333
IndiGo,Chennai,Kolkata,non-stop,3597,18,5,2.333333333333333
IndiGo,Delhi,Cochin,1 stop,6938,27,5,6.333333333333333
Air Asia,Kolkata,Banglore,non-stop,3807,24,6,2.5
Jet Airways,Delhi,Cochin,1 stop,10262,12,6,10.0
Air India,Kolkata,Banglore,2 stops,11432,9,5,12.083333333333334
Jet Airways,Banglore,Delhi,non-stop,7229,21,3,2.6666666666666665
Multiple carriers,Delhi,Cochin,1 stop,14848,21,5,7.75
Jet Airways,Kolkata,Banglore,1 stop,8586,15,5,17.083333333333332
Multiple carriers,Delhi,Cochin,1 stop,6106,9,4,8.666666666666666
SpiceJet,Kolkata,Banglore,non-stop,3873,3,5,2.333333333333333
Jet Airways,Delhi,Cochin,2 stops,15812,15,6,7.333333333333333
Jet Airways,Kolkata,Banglore,1 stop,12121,24,5,18.0
Jet Airways,Kolkata,Banglore,1 stop,8586,12,5,13.333333333333334
Multiple carriers,Delhi,Cochin,1 stop,7354,12,6,11.75
IndiGo,Kolkata,Banglore,non-stop,4778,6,3,2.6666666666666665
IndiGo,Delhi,Cochin,1 stop,6838,9,6,12.5
Multiple carriers,Delhi,Cochin,1 stop,10276,6,3,12.583333333333334
Jet Airways,Banglore,Delhi,non-stop,8016,18,6,3.0
Air India,Banglore,Delhi,1 stop,4943,21,3,10.25
IndiGo,Banglore,Delhi,non-stop,4823,24,6,2.833333333333333
Jet Airways,Kolkata,Banglore,1 stop,12996,1,4,7.916666666666667
Air India,Delhi,Cochin,1 stop,9929,27,5,10.25
Multiple carriers,Delhi,Cochin,1 stop,9508,3,6,15.5
Air India,Delhi,Cochin,non-stop,5674,21,3,3.083333333333333
IndiGo,Chennai,Kolkata,non-stop,3858,18,6,2.4166666666666665
IndiGo,Kolkata,Banglore,non-stop,4804,24,5,2.583333333333333
Multiple carriers,Delhi,Cochin,1 stop,13377,27,5,11.5
Jet Airways,Delhi,Cochin,1 stop,12898,27,5,13.416666666666666
Air Asia,Kolkata,Banglore,non-stop,4409,1,6,2.583333333333333
Air Asia,Delhi,Cochin,1 stop,8759,1,6,14.5
Air India,Banglore,Delhi,1 stop,10394,3,3,23.416666666666668
IndiGo,Chennai,Kolkata,non-stop,3858,18,3,2.4166666666666665
Air Asia,Delhi,Cochin,1 stop,6253,15,6,5.5
Jet Airways,Delhi,Cochin,2 stops,15129,27,5,17.416666666666668
GoAir,Kolkata,Banglore,1 stop,4773,24,3,7.833333333333333
Jet Airways,Kolkata,Banglore,1 stop,9663,21,5,26.83333333333333
Jet Airways,Kolkata,Banglore,1 stop,12692,12,6,16.75
IndiGo,Banglore,Delhi,non-stop,3943,6,6,2.75
Jet Airways,Kolkata,Banglore,1 stop,10703,12,5,28.08333333333333
IndiGo,Delhi,Cochin,1 stop,8784,27,3,14.333333333333334
Multiple carriers,Delhi,Cochin,1 stop,11622,9,6,9.75
IndiGo,Chennai,Kolkata,non-stop,5277,24,5,2.333333333333333
Air Asia,Delhi,Cochin,1 stop,8327,21,5,14.416666666666666
IndiGo,Delhi,Cochin,non-stop,6885,9,3,3.25
Jet Airways,Banglore,Delhi,non-stop,8016,12,6,3.0
IndiGo,Delhi,Cochin,1 stop,10112,1,6,5.083333333333333
IndiGo,Delhi,Cochin,1 stop,14871,6,3,8.083333333333334
Jet Airways,Delhi,Cochin,1 stop,10262,9,6,10.0
Jet Airways,Mumbai,Hyderabad,non-stop,2470,24,3,1.5
Air India,Delhi,Cochin,2 stops,11622,9,3,20.166666666666668
Vistara,Kolkata,Banglore,1 stop,8662,6,5,14.416666666666666
Air India,Delhi,Cochin,2 stops,11972,24,6,26.0
Jet Airways,Delhi,Cochin,2 stops,11992,6,6,19.0
Jet Airways,Delhi,Cochin,1 stop,12373,18,5,18.416666666666668
Multiple carriers,Delhi,Cochin,1 stop,7198,1,6,15.5
Jet Airways,Delhi,Cochin,1 stop,14714,15,6,5.5
IndiGo,Delhi,Cochin,1 stop,6316,9,6,9.5
Air India,Delhi,Cochin,1 stop,5998,27,3,14.583333333333334
Jet Airways,Kolkata,Banglore,1 stop,13044,12,6,21.416666666666668
Multiple carriers,Delhi,Cochin,1 stop,9646,12,6,9.416666666666666
Air Asia,Delhi,Cochin,1 stop,6451,27,6,14.416666666666666
GoAir,Delhi,Cochin,1 stop,5281,24,6,5.916666666666667
Jet Airways,Mumbai,Hyderabad,non-stop,2228,1,5,1.5
IndiGo,Banglore,Delhi,non-stop,3943,1,6,2.75
Air India,Delhi,Cochin,2 stops,11753,15,6,20.75
Jet Airways,Delhi,Cochin,2 stops,12819,24,6,13.5
Jet Airways,Delhi,Cochin,2 stops,8728,21,3,28.916666666666668
SpiceJet,Delhi,Cochin,1 stop,4812,9,5,4.5
Jet Airways,Kolkata,Banglore,1 stop,14151,1,5,29.08333333333333
Vistara,Kolkata,Banglore,1 stop,8452,1,5,12.75
IndiGo,Kolkata,Banglore,1 stop,6762,24,3,5.083333333333333
Jet Airways,Banglore,Delhi,1 stop,13817,12,3,18.33333333333333
Jet Airways,Delhi,Cochin,1 stop,12898,21,5,22.58333333333333
IndiGo,Kolkata,Banglore,1 stop,3480,6,4,4.416666666666667
